ADMINISTRATOR,CODIST,SCHOOL NAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE,FAX,ESU AFFILIATION,COUNTY,EMAIL
,00-0016-000,EDUCATIONAL SERVICE UNIT 16,314 W FIRST ST,PO BOX 915,OGALLALA,NE,69153-0915,(308)284-8481,(308)284-8483,16,EDUCATIONAL SERVICE UNITS,
,00-0019-000,EDUCATIONAL SERVICE UNIT 19,3215 CUMING STREET,,OMAHA,NE,68131-2024,(531)299-9463,(531)299-0386,19,EDUCATIONAL SERVICE UNITS,
Kraig Lofquist,00-0009-000,EDUCATIONAL SERVICE UNIT 09,1117 E. SOUTH STREET,,HASTINGS,NE,68901-6443,(402)463-5611,(402)463-9555,09,EDUCATIONAL SERVICE UNITS,kraig.lofquist@esu9.us
Wayne Bell,00-0010-000,EDUCATIONAL SERVICE UNIT 10,,PO BOX 850,KEARNEY,NE,68848-0850,(308)237-5927,(308)237-5920,10,EDUCATIONAL SERVICE UNITS,wbell@esu10.org
Geraldine Erickson,00-0017-000,EDUCATIONAL SERVICE UNIT 17,207 N MAIN STREET,,AINSWORTH,NE,69210-1353,(402)387-1420,(402)387-1028,17,EDUCATIONAL SERVICE UNITS,gerickson17@esu17.org
Theodore Deturk,00-0002-000,EDUCATIONAL SERVICE UNIT 02,,PO BOX 649,FREMONT,NE,68026-0649,(402)721-7710,(402)721-7712,02,EDUCATIONAL SERVICE UNITS,tdeturk@esu2.org
Paul Calvert,00-0015-000,EDUCATIONAL SERVICE UNIT 15,344 MAIN ST,PO BOX 398,TRENTON,NE,69044-0398,(308)334-5160,(308)334-5581,15,EDUCATIONAL SERVICE UNITS,p.calver@esu15.org
Elizabeth Standish,00-0018-000,EDUCATIONAL SERVICE UNIT 18,,PO BOX 82889,LINCOLN,NE,68501-2889,(402)436-1610,(402)436-1620,18,EDUCATIONAL SERVICE UNITS,lstandis@lps.org
DANIEL SHOEMAKE,00-0006-000,EDUCATIONAL SERVICE UNIT 06,210 5TH ST,,MILFORD,NE,68405-9508,(402)761-3341,(402)761-3279,06,EDUCATIONAL SERVICE UNITS,dan.shoemake@esu6.org
Gregg Robke,00-0004-000,EDUCATIONAL SERVICE UNIT 04,919 16TH ST,PO BOX 310,AUBURN,NE,68305-0310,(402)274-4354,(402)274-4356,04,EDUCATIONAL SERVICE UNITS,grobke@esu4.net
Brenda Mcniff,00-0005-000,EDUCATIONAL SERVICE UNIT 05,900 WEST COURT,,BEATRICE,NE,68310-3526,(402)223-5277,(402)223-5279,05,EDUCATIONAL SERVICE UNITS,bmcniff@esu5.org
Bill Mowinkel,00-0008-000,EDUCATIONAL SERVICE UNIT 08,,PO BOX 89,NELIGH,NE,68756-0089,(402)887-5041,(402)887-4604,08,EDUCATIONAL SERVICE UNITS,bmowinkel@esu8.org
LARIANNE POLK,00-0007-000,EDUCATIONAL SERVICE UNIT 07,2657 44TH AVE,,COLUMBUS,NE,68601-8537,(402)564-5753,(402)563-1121,07,EDUCATIONAL SERVICE UNITS,lpolk@esu7.org
DANNY SCHNOES,00-0003-000,EDUCATIONAL SERVICE UNIT 03,6949 S 110TH ST,,LAVISTA,NE,68128-5722,(402)597-4800,(402)597-4808,03,EDUCATIONAL SERVICE UNITS,dschnoes@esu3.org
Jeffery West,00-0013-000,EDUCATIONAL SERVICE UNIT 13,4215 AVENUE I,,SCOTTSBLUFF,NE,69361-4901,(308)635-3696,(308)635-0680,13,EDUCATIONAL SERVICE UNITS,jwest@esu13.org
Bill Heimann,00-0001-000,EDUCATIONAL SERVICE UNIT 01,211 TENTH ST,,WAKEFIELD,NE,68784-5014,(402)287-2061,(402)287-2065,01,EDUCATIONAL SERVICE UNITS,bheimann@esu1.org
GREG BARNES,00-0011-000,EDUCATIONAL SERVICE UNIT 11,412 W 14TH ST,PO BOX 858,HOLDREGE,NE,68949-0858,(308)995-6585,(308)995-6587,11,EDUCATIONAL SERVICE UNITS,greg.barnes@esu11.org
Shawn Scott,01-0090-000,ADAMS CENTRAL PUBLIC SCHOOLS,,PO BOX 1088,HASTINGS,NE,68902-1088,(402)463-3285,(402)463-6344,09,ADAMS,shawn.scott@adams-central.org
Craig Kautz,01-0018-000,HASTINGS PUBLIC SCHOOLS,1924 WEST A  STREET,,HASTINGS,NE,68901-5190,(402)461-7500,(402)461-7509,09,ADAMS,craig.kautz@hpstigers.org
Rev John Perkinton,01-0702-000,HASTINGS CATHOLIC SCHOOLS,521 N KANSAS,,HASTINGS,NE,68901-7594,(402)462-2105,(402)462-2106,09,ADAMS,fr.john-perkinton@cdolinc.net
